日期,股票代码,开盘价,收盘价,最高价,最低价,成交量
2025-02-05,1309,106.0,103.79,111.99,99.5,113884.0
2025-02-05,2050,31.07,32.19,33.22,30.5,1673002.0
2025-02-05,21,19.45,19.4,19.73,19.23,432879.0
2025-02-05,2131,3.75,4.0,4.0,3.7,13156252.0
2025-02-05,2149,17.07,17.2,17.34,16.9,91383.0
2025-02-05,2155,17.73,18.02,18.04,17.72,789856.0
2025-02-05,2156,28.79,28.97,29.3,28.45,604419.0
2025-02-05,2165,4.5,4.5,4.54,4.44,200825.0
2025-02-05,2185,11.44,11.38,11.49,11.35,511998.0
2025-02-05,2195,4.21,4.48,4.48,4.18,5541120.0
2025-02-05,2202,9.55,9.07,9.58,8.99,740273.0
2025-02-05,2230,53.0,54.43,55.0,53.0,1600699.0
2025-02-05,2342,3.14,3.13,3.14,3.09,109534.0
2025-02-05,2371,383.0,378.03,383.99,373.0,64102.0
2025-02-05,2384,32.98,30.35,33.29,30.16,1142934.0
2025-02-05,2400,8.3,8.49,8.58,8.22,1894028.0
2025-02-05,2460,32.95,33.0,33.4,32.68,184917.0
2025-02-05,2471,2.5,2.54,2.55,2.47,191900.0
2025-02-05,2475,40.7,40.42,41.36,39.91,715985.0
2025-02-05,2594,282.73,282.8,286.75,281.6,145351.0
2025-02-05,2602,5.09,5.16,5.19,5.02,1029953.0
2025-02-05,2648,20.08,19.89,20.28,19.81,215197.0
2025-02-05,2792,14.19,14.58,14.94,14.01,114619.0
2025-02-05,2837,38.77,37.16,39.14,36.86,547348.0
2025-02-05,2938,40.49,39.8,40.75,38.44,140437.0
2025-02-05,300014,42.65,42.38,42.87,42.0,146052.0
2025-02-05,300017,10.7,11.95,12.08,10.47,4493666.0
2025-02-05,300033,288.0,287.6,295.66,282.01,139116.0
2025-02-05,300058,9.39,9.84,10.06,9.39,3399820.0
2025-02-05,300059,23.3,22.99,23.35,22.9,3134682.0
2025-02-05,300063,9.86,9.79,9.95,9.6,762055.0
2025-02-05,300102,10.95,10.89,11.05,10.69,186350.0
2025-02-05,300118,10.87,11.01,11.23,10.78,176171.0
2025-02-05,300136,24.18,23.96,24.37,23.86,154267.0
2025-02-05,300139,16.7,17.26,17.42,16.45,411585.0
2025-02-05,300170,20.35,19.78,20.7,18.51,3324186.0
2025-02-05,300223,66.89,73.37,77.28,66.23,390285.0
2025-02-05,300251,11.44,11.44,11.44,10.9,2018519.0
2025-02-05,300274,69.94,68.79,70.48,68.4,270558.0
